timecreated,timemodified,assignmentid,assignmentname,courseid,coursename,userid,assessment_json
2017-03-27,2017-03-27,543,Lifting Components/equipments using correct lifting methods Workorder 1,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002449 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002449 Skill definition__1740130512975.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002449 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002449 Participant worksheet__1740130869398.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,546,Tightening procedures Workorder1,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002456 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002456 Skill definition__1740130568571.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002456 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002456 Participant worksheet__1740130808831.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,547,Tightening procedures Workorder 2,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002456 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002456 Skill definition__1740130568571.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002456 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002456 Participant worksheet__1740130808831.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,548,Tightening procedures Workorder 3,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002456 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002456 Skill definition__1740130568571.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002456 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002456 Participant worksheet__1740130808831.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,549,Collect the oil sample Workorder 1,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002434 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002434 Skill definition__1740130459974.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002434 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002434 Participant worksheet__1740130646427.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,550,Collect the oil sample Workorder 2,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002434 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002434 Skill definition__1740130459974.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002434 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002434 Participant worksheet__1740130646427.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,551,Collect the oil sample Workorder 3,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002434 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002434 Skill definition__1740130459974.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002434 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002434 Participant worksheet__1740130646427.pdf"",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,552,Contamination Control Implementation Workorder 1,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002437 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002437 Skill definition__1740130543564.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002437 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": """",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,553,Contamination Control Implementation Workorder 2,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002437 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002437 Skill definition__1740130543564.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002437 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": """",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
2017-03-27,2017-03-27,554,Contamination Control Implementation Workorder 3,707,Service Industry Level 0  Skill Assessment,356,"{
  ""name"": """",
  ""field_skill"": {
    ""learner_url"": [
      {
        ""file_name"": ""50002437 Skill definition.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": ""skill_files/50002437 Skill definition__1740130543564.pdf"",
        ""file_category"": ""learner_document""
      }
    ],
    ""trainer_url"": [
      {
        ""file_name"": ""50002437 Participant worksheet.pdf"",
        ""file_type"": ""pdf"",
        ""file_url"": """",
        ""file_category"": ""trainer_document""
      }
    ]
  }
}"
